policy,seed,step,value,r
crucitti,7,4,0.6421312440579875,0.2
crucitti,7,5,0.575064581596272,0.2
crucitti,7,6,0.6433785097657718,0.2
crucitti,7,7,0.575064581596272,0.2
crucitti,7,8,0.6433785097657718,0.2
crucitti,7,9,0.575064581596272,0.2
crucitti,7,10,0.6433785097657718,0.2
crucitti,7,11,0.575064581596272,0.2
crucitti,7,12,0.6433785097657718,0.2
crucitti,7,13,0.575064581596272,0.2
crucitti,7,14,0.6433785097657718,0.2
crucitti,7,15,0.575064581596272,0.2
crucitti,7,16,0.6433785097657718,0.2
crucitti,7,17,0.575064581596272,0.2
crucitti,7,18,0.6433785097657718,0.2
crucitti,7,19,0.575064581596272,0.2
crucitti,7,20,0.6433785097657718,0.2
crucitti,7,0,0.931363595193524,0.5
crucitti,7,1,0.7316937523141273,0.5
crucitti,7,2,0.7516543948745675,0.5
crucitti,7,3,0.7058071041393157,0.5
crucitti,7,4,0.7483286648638228,0.5
crucitti,7,5,0.7058071041393157,0.5
crucitti,7,6,0.7483286648638228,0.5
crucitti,7,7,0.7058071041393157,0.5
crucitti,7,8,0.7483286648638228,0.5
crucitti,7,9,0.7058071041393157,0.5
crucitti,7,10,0.7483286648638228,0.5
crucitti,7,11,0.7058071041393157,0.5
crucitti,7,12,0.7483286648638228,0.5
crucitti,7,13,0.7058071041393157,0.5
crucitti,7,14,0.7483286648638228,0.5
crucitti,7,15,0.7058071041393157,0.5
crucitti,7,16,0.7483286648638228,0.5
crucitti,7,17,0.7058071041393157,0.5
crucitti,7,18,0.7483286648638228,0.5
crucitti,7,19,0.7058071041393157,0.5
crucitti,7,20,0.7483286648638228,0.5
crucitti,7,0,0.931363595193524,1.0
crucitti,7,1,0.8079788946404937,1.0
crucitti,7,2,0.8064293925340928,1.0
crucitti,7,3,0.8159761275172593,1.0
crucitti,7,4,0.7929164374185734,1.0
crucitti,7,5,0.8155354390298931,1.0
crucitti,7,6,0.7929164374185734,1.0
crucitti,7,7,0.8155354390298931,1.0
crucitti,7,8,0.7929164374185734,1.0
crucitti,7,9,0.8155354390298931,1.0
crucitti,7,10,0.7929164374185734,1.0
crucitti,7,11,0.8155354390298931,1.0
crucitti,7,12,0.7929164374185734,1.0
crucitti,7,13,0.8155354390298931,1.0
crucitti,7,14,0.7929164374185734,1.0
crucitti,7,15,0.8155354390298931,1.0
crucitti,7,16,0.7929164374185734,1.0
crucitti,7,17,0.8155354390298931,1.0
crucitti,7,18,0.7929164374185734,1.0
crucitti,7,19,0.8155354390298931,1.0
crucitti,7,20,0.7929164374185734,1.0
