policy,seed,step,value,outcome
beta=0,7,42,13187.999999999996,lost_load
beta=0,7,43,13187.999999999996,lost_load
beta=0,7,44,13187.999999999996,lost_load
beta=0,7,45,13187.999999999996,lost_load
beta=0,7,46,13187.999999999996,lost_load
beta=0,7,47,13187.999999999996,lost_load
beta=0,7,48,13187.999999999996,lost_load
beta=0,7,49,13187.999999999996,lost_load
beta=0,7,50,13187.999999999996,lost_load
beta=0,7,51,13187.999999999996,lost_load
beta=0,7,52,13187.999999999996,lost_load
beta=0,7,53,13187.999999999996,lost_load
beta=0,7,54,13187.999999999996,lost_load
beta=0,7,55,13187.999999999996,lost_load
beta=0,7,56,13187.999999999996,lost_load
beta=0,7,57,13187.999999999996,lost_load
beta=0,7,58,13187.999999999996,lost_load
beta=0,7,59,13187.999999999996,lost_load
beta=0,7,60,13187.999999999996,lost_load
beta=0,7,61,13187.999999999996,lost_load
beta=0,7,62,13187.999999999996,lost_load
beta=0,7,63,13187.999999999996,lost_load
beta=0,7,64,13187.999999999996,lost_load
beta=0,7,65,13187.999999999996,lost_load
beta=0,7,66,13187.999999999996,lost_load
beta=0,7,67,13187.999999999996,lost_load
beta=0,7,68,13187.999999999996,lost_load
beta=0,7,69,13187.999999999996,lost_load
beta=0,7,70,13187.999999999996,lost_load
beta=0,7,71,13187.999999999996,lost_load
beta=0,7,72,13187.999999999996,lost_load
beta=0,7,73,13187.999999999996,lost_load
beta=0,7,74,13187.999999999996,lost_load
beta=0,7,75,13187.999999999996,lost_load
beta=0,7,76,13187.999999999996,lost_load
beta=0,7,77,13187.999999999996,lost_load
beta=0,7,78,13187.999999999996,lost_load
beta=0,7,79,13187.999999999996,lost_load
beta=0,7,80,13187.999999999996,lost_load
beta=0,7,81,13187.999999999996,lost_load
beta=0,7,82,13187.999999999996,lost_load
beta=0,7,83,13187.999999999996,lost_load
beta=0,7,84,13187.999999999996,lost_load
beta=0,7,85,13187.999999999996,lost_load
beta=0,7,86,13187.999999999996,lost_load
beta=0,7,87,13187.999999999996,lost_load
beta=0,7,88,13187.999999999996,lost_load
beta=0,7,89,13187.999999999996,lost_load
beta=0,7,90,13187.999999999996,lost_load
beta=0,7,91,13187.999999999996,lost_load
beta=0,7,92,13187.999999999996,lost_load
beta=0,7,93,13187.999999999996,lost_load
beta=0,7,94,13187.999999999996,lost_load
beta=0,7,95,13187.999999999996,lost_load
beta=0,7,96,13187.999999999996,lost_load
beta=0,7,97,13187.999999999996,lost_load
beta=0,7,98,13187.999999999996,lost_load
beta=0,7,99,13187.999999999996,lost_load
beta=0,7,100,13187.999999999996,lost_load
beta=0,7,101,13187.999999999996,lost_load
beta=0,7,102,13187.999999999996,lost_load
beta=0,7,103,13187.999999999996,lost_load
beta=0,7,104,13187.999999999996,lost_load
beta=0,7,105,13187.999999999996,lost_load
beta=0,7,106,13187.999999999996,lost_load
beta=0,7,107,13187.999999999996,lost_load
beta=0,7,108,13187.999999999996,lost_load
beta=0,7,109,13187.999999999996,lost_load
beta=0,7,110,13187.999999999996,lost_load
beta=0,7,111,13187.999999999996,lost_load
beta=0,7,112,13187.999999999996,lost_load
beta=0,7,113,13187.999999999996,lost_load
beta=0,7,114,13187.999999999996,lost_load
beta=0,7,115,13187.999999999996,lost_load
beta=0,7,116,13187.999999999996,lost_load
beta=0,7,117,13187.999999999996,lost_load
beta=0,7,118,13187.999999999996,lost_load
beta=0,7,119,13187.999999999996,lost_load
beta=0,7,120,13187.999999999996,lost_load
beta=0,7,121,13187.999999999996,lost_load
beta=0,7,122,13187.999999999996,lost_load
beta=0,7,123,13187.999999999996,lost_load
beta=0,7,124,13187.999999999996,lost_load
beta=0,7,125,13187.999999999996,lost_load
beta=0,7,126,13187.999999999996,lost_load
beta=0,7,127,13187.999999999996,lost_load
beta=0,7,128,13187.999999999996,lost_load
beta=0,7,129,13187.999999999996,lost_load
beta=0,7,130,13187.999999999996,lost_load
beta=0,7,131,13187.999999999996,lost_load
beta=0,7,132,13187.999999999996,lost_load
beta=0,7,133,13187.999999999996,lost_load
beta=0,7,134,13187.999999999996,lost_load
beta=0,7,135,13187.999999999996,lost_load
beta=0,7,136,13187.999999999996,lost_load
beta=0,7,137,13187.999999999996,lost_load
beta=0,7,138,13187.999999999996,lost_load
beta=0,7,139,13187.999999999996,lost_load
beta=0,7,140,13187.999999999996,lost_load
beta=0,7,141,13187.999999999996,lost_load
beta=0,7,142,13187.999999999996,lost_load
beta=0,7,143,13187.999999999996,lost_load
beta=0,7,144,13187.999999999996,lost_load
beta=0,7,145,13187.999999999996,lost_load
beta=0,7,146,13187.999999999996,lost_load
beta=0,7,147,13187.999999999996,lost_load
beta=0,7,148,13187.999999999996,lost_load
beta=0,7,149,13187.999999999996,lost_load
beta=0,7,150,13187.999999999996,lost_load
beta=0,7,151,13187.999999999996,lost_load
beta=0,7,152,13187.999999999996,lost_load
beta=0,7,153,13187.999999999996,lost_load
beta=0,7,154,13187.999999999996,lost_load
beta=0,7,155,13187.999999999996,lost_load
beta=0,7,156,13187.999999999996,lost_load
beta=0,7,157,13187.999999999996,lost_load
beta=0,7,158,13187.999999999996,lost_load
beta=0,7,159,13187.999999999996,lost_load
beta=0,7,160,13187.999999999996,lost_load
beta=0,7,161,13187.999999999996,lost_load
beta=0,7,162,13187.999999999996,lost_load
beta=0,7,163,13187.999999999996,lost_load
beta=0,7,164,13187.999999999996,lost_load
beta=0,7,165,13187.999999999996,lost_load
beta=0,7,166,13187.999999999996,lost_load
beta=0,7,167,13187.999999999996,lost_load
beta=0,7,168,13187.999999999996,lost_load
beta=0,7,169,13187.999999999996,lost_load
beta=0,7,170,13187.999999999996,lost_load
beta=0,7,171,13187.999999999996,lost_load
beta=0,7,172,13187.999999999996,lost_load
beta=0,7,173,13187.999999999996,lost_load
beta=0,7,174,13187.999999999996,lost_load
beta=0,7,175,13187.999999999996,lost_load
beta=0,7,176,13187.999999999996,lost_load
beta=0,7,177,13187.999999999996,lost_load
beta=0,7,178,13187.999999999996,lost_load
beta=0,7,179,13187.999999999996,lost_load
beta=0,7,180,13187.999999999996,lost_load
beta=0,7,181,13187.999999999996,lost_load
beta=0,7,182,13187.999999999996,lost_load
beta=0,7,183,13187.999999999996,lost_load
beta=0,7,184,13187.999999999996,lost_load
beta=0,7,185,13187.999999999996,lost_load
beta=0,7,186,13187.999999999996,lost_load
beta=0,7,187,13187.999999999996,lost_load
beta=0,7,188,13187.999999999996,lost_load
beta=0,7,189,13187.999999999996,lost_load
beta=0,7,190,13187.999999999996,lost_load
beta=0,7,191,13187.999999999996,lost_load
beta=0,7,192,13187.999999999996,lost_load
beta=0,7,193,13187.999999999996,lost_load
beta=0,7,194,13187.999999999996,lost_load
beta=0,7,195,13187.999999999996,lost_load
beta=0,7,196,13187.999999999996,lost_load
beta=0,7,197,13187.999999999996,lost_load
beta=0,7,198,13187.999999999996,lost_load
beta=0,7,199,13187.999999999996,lost_load
beta=0,7,200,13187.999999999996,lost_load
beta=1,7,0,1.0,failed
beta=1,7,1,20.0,failed
beta=1,7,2,45.0,failed
beta=1,7,3,77.0,failed
beta=1,7,4,135.0,failed
beta=1,7,5,194.0,failed
beta=1,7,6,270.0,failed
beta=1,7,7,374.0,failed
beta=1,7,8,509.0,failed
beta=1,7,9,654.0,failed
beta=1,7,10,803.0,failed
beta=1,7,11,930.0,failed
beta=1,7,12,1043.0,failed
beta=1,7,13,1207.0,failed
beta=1,7,14,1430.0,failed
beta=1,7,15,1764.0,failed
beta=1,7,16,2199.0,failed
beta=1,7,17,2637.0,failed
beta=1,7,18,3039.0,failed
beta=1,7,19,3414.0,failed
beta=1,7,20,3714.0,failed
beta=1,7,21,3926.0,failed
beta=1,7,22,4063.0,failed
beta=1,7,23,4195.0,failed
beta=1,7,24,4352.0,failed
beta=1,7,25,4511.0,failed
beta=1,7,26,4653.0,failed
beta=1,7,27,4766.0,failed
beta=1,7,28,4855.0,failed
beta=1,7,29,4904.0,failed
beta=1,7,30,4930.0,failed
beta=1,7,31,4937.0,failed
beta=1,7,32,4941.0,failed
beta=1,7,33,4941.0,failed
beta=1,7,34,4941.0,failed
beta=1,7,35,4941.0,failed
beta=1,7,36,4941.0,failed
beta=1,7,37,4941.0,failed
beta=1,7,38,4941.0,failed
beta=1,7,39,4941.0,failed
beta=1,7,40,4941.0,failed
beta=1,7,41,4941.0,failed
beta=1,7,42,4941.0,failed
beta=1,7,43,4941.0,failed
beta=1,7,44,4941.0,failed
beta=1,7,45,4941.0,failed
beta=1,7,46,4941.0,failed
beta=1,7,47,4941.0,failed
beta=1,7,48,4941.0,failed
beta=1,7,49,4941.0,failed
beta=1,7,50,4941.0,failed
beta=1,7,51,4941.0,failed
beta=1,7,52,4941.0,failed
beta=1,7,53,4941.0,failed
beta=1,7,54,4941.0,failed
beta=1,7,55,4941.0,failed
beta=1,7,56,4941.0,failed
beta=1,7,57,4941.0,failed
beta=1,7,58,4941.0,failed
beta=1,7,59,4941.0,failed
beta=1,7,60,4941.0,failed
beta=1,7,61,4941.0,failed
beta=1,7,62,4941.0,failed
beta=1,7,63,4941.0,failed
beta=1,7,64,4941.0,failed
beta=1,7,65,4941.0,failed
beta=1,7,66,4941.0,failed
beta=1,7,67,4941.0,failed
beta=1,7,68,4941.0,failed
beta=1,7,69,4941.0,failed
beta=1,7,70,4941.0,failed
beta=1,7,71,4941.0,failed
beta=1,7,72,4941.0,failed
beta=1,7,73,4941.0,failed
beta=1,7,74,4941.0,failed
beta=1,7,75,4941.0,failed
beta=1,7,76,4941.0,failed
beta=1,7,77,4941.0,failed
beta=1,7,78,4941.0,failed
beta=1,7,79,4941.0,failed
beta=1,7,80,4941.0,failed
beta=1,7,81,4941.0,failed
beta=1,7,82,4941.0,failed
beta=1,7,83,4941.0,failed
beta=1,7,84,4941.0,failed
beta=1,7,85,4941.0,failed
beta=1,7,86,4941.0,failed
beta=1,7,87,4941.0,failed
beta=1,7,88,4941.0,failed
beta=1,7,89,4941.0,failed
beta=1,7,90,4941.0,failed
beta=1,7,91,4941.0,failed
beta=1,7,92,4941.0,failed
beta=1,7,93,4941.0,failed
beta=1,7,94,4941.0,failed
beta=1,7,95,4941.0,failed
beta=1,7,96,4941.0,failed
beta=1,7,97,4941.0,failed
beta=1,7,98,4941.0,failed
beta=1,7,99,4941.0,failed
beta=1,7,100,4941.0,failed
beta=1,7,101,4941.0,failed
beta=1,7,102,4941.0,failed
beta=1,7,103,4941.0,failed
beta=1,7,104,4941.0,failed
beta=1,7,105,4941.0,failed
beta=1,7,106,4941.0,failed
beta=1,7,107,4941.0,failed
beta=1,7,108,4941.0,failed
beta=1,7,109,4941.0,failed
beta=1,7,110,4941.0,failed
beta=1,7,111,4941.0,failed
beta=1,7,112,4941.0,failed
beta=1,7,113,4941.0,failed
beta=1,7,114,4941.0,failed
beta=1,7,115,4941.0,failed
beta=1,7,116,4941.0,failed
beta=1,7,117,4941.0,failed
beta=1,7,118,4941.0,failed
beta=1,7,119,4941.0,failed
beta=1,7,120,4941.0,failed
beta=1,7,121,4941.0,failed
beta=1,7,122,4941.0,failed
beta=1,7,123,4941.0,failed
beta=1,7,124,4941.0,failed
beta=1,7,125,4941.0,failed
beta=1,7,126,4941.0,failed
beta=1,7,127,4941.0,failed
beta=1,7,128,4941.0,failed
beta=1,7,129,4941.0,failed
beta=1,7,130,4941.0,failed
beta=1,7,131,4941.0,failed
beta=1,7,132,4941.0,failed
beta=1,7,133,4941.0,failed
beta=1,7,134,4941.0,failed
beta=1,7,135,4941.0,failed
beta=1,7,136,4941.0,failed
beta=1,7,137,4941.0,failed
beta=1,7,138,4941.0,failed
beta=1,7,139,4941.0,failed
beta=1,7,140,4941.0,failed
beta=1,7,141,4941.0,failed
beta=1,7,142,4941.0,failed
beta=1,7,143,4941.0,failed
beta=1,7,144,4941.0,failed
beta=1,7,145,4941.0,failed
beta=1,7,146,4941.0,failed
beta=1,7,147,4941.0,failed
beta=1,7,148,4941.0,failed
beta=1,7,149,4941.0,failed
beta=1,7,150,4941.0,failed
beta=1,7,151,4941.0,failed
beta=1,7,152,4941.0,failed
beta=1,7,153,4941.0,failed
beta=1,7,154,4941.0,failed
beta=1,7,155,4941.0,failed
beta=1,7,156,4941.0,failed
beta=1,7,157,4941.0,failed
beta=1,7,158,4941.0,failed
beta=1,7,159,4941.0,failed
beta=1,7,160,4941.0,failed
beta=1,7,161,4941.0,failed
beta=1,7,162,4941.0,failed
beta=1,7,163,4941.0,failed
beta=1,7,164,4941.0,failed
beta=1,7,165,4941.0,failed
beta=1,7,166,4941.0,failed
beta=1,7,167,4941.0,failed
beta=1,7,168,4941.0,failed
beta=1,7,169,4941.0,failed
beta=1,7,170,4941.0,failed
beta=1,7,171,4941.0,failed
beta=1,7,172,4941.0,failed
beta=1,7,173,4941.0,failed
beta=1,7,174,4941.0,failed
beta=1,7,175,4941.0,failed
beta=1,7,176,4941.0,failed
beta=1,7,177,4941.0,failed
beta=1,7,178,4941.0,failed
beta=1,7,179,4941.0,failed
beta=1,7,180,4941.0,failed
beta=1,7,181,4941.0,failed
beta=1,7,182,4941.0,failed
beta=1,7,183,4941.0,failed
beta=1,7,184,4941.0,failed
beta=1,7,185,4941.0,failed
beta=1,7,186,4941.0,failed
beta=1,7,187,4941.0,failed
beta=1,7,188,4941.0,failed
beta=1,7,189,4941.0,failed
beta=1,7,190,4941.0,failed
beta=1,7,191,4941.0,failed
beta=1,7,192,4941.0,failed
beta=1,7,193,4941.0,failed
beta=1,7,194,4941.0,failed
beta=1,7,195,4941.0,failed
beta=1,7,196,4941.0,failed
beta=1,7,197,4941.0,failed
beta=1,7,198,4941.0,failed
beta=1,7,199,4941.0,failed
beta=1,7,200,4941.0,failed
beta=1,7,0,0.0,lost_load
beta=1,7,1,0.0,lost_load
beta=1,7,2,22.885714285714286,lost_load
beta=1,7,3,68.93621888946966,lost_load
beta=1,7,4,118.23747564217076,lost_load
beta=1,7,5,251.03646400280334,lost_load
beta=1,7,6,408.3375253144276,lost_load
beta=1,7,7,525.8941873417995,lost_load
beta=1,7,8,745.3733025948949,lost_load
beta=1,7,9,1023.970272971354,lost_load
beta=1,7,10,1396.9926952383914,lost_load
beta=1,7,11,1779.1797857855727,lost_load
beta=1,7,12,2304.8300184905024,lost_load
beta=1,7,13,2515.9164559651667,lost_load
beta=1,7,14,2825.723321955969,lost_load
beta=1,7,15,3137.474872083774,lost_load
beta=1,7,16,3612.7092667722873,lost_load
beta=1,7,17,4362.941276115679,lost_load
beta=1,7,18,5320.855851655827,lost_load
beta=1,7,19,6503.07505343166,lost_load
beta=1,7,20,7742.526012572803,lost_load
beta=1,7,21,8819.004852949374,lost_load
beta=1,7,22,9846.785484577213,lost_load
beta=1,7,23,10195.484533065588,lost_load
beta=1,7,24,10572.43196152019,lost_load
beta=1,7,25,10972.64277063581,lost_load
beta=1,7,26,11332.790936090392,lost_load
beta=1,7,27,11772.454471155226,lost_load
beta=1,7,28,12200.943733396876,lost_load
beta=1,7,29,12574.688748316708,lost_load
beta=1,7,30,12984.430473122353,lost_load
beta=1,7,31,13109.85230235888,lost_load
beta=1,7,32,13144.66029186358,lost_load
beta=1,7,33,13187.999999999953,lost_load
beta=1,7,34,13187.999999999953,lost_load
beta=1,7,35,13187.999999999953,lost_load
beta=1,7,36,13187.999999999953,lost_load
beta=1,7,37,13187.999999999953,lost_load
beta=1,7,38,13187.999999999953,lost_load
beta=1,7,39,13187.999999999953,lost_load
beta=1,7,40,13187.999999999953,lost_load
beta=1,7,41,13187.999999999953,lost_load
beta=1,7,42,13187.999999999953,lost_load
beta=1,7,43,13187.999999999953,lost_load
beta=1,7,44,13187.999999999953,lost_load
beta=1,7,45,13187.999999999953,lost_load
beta=1,7,46,13187.999999999953,lost_load
beta=1,7,47,13187.999999999953,lost_load
beta=1,7,48,13187.999999999953,lost_load
beta=1,7,49,13187.999999999953,lost_load
beta=1,7,50,13187.999999999953,lost_load
beta=1,7,51,13187.999999999953,lost_load
beta=1,7,52,13187.999999999953,lost_load
beta=1,7,53,13187.999999999953,lost_load
beta=1,7,54,13187.999999999953,lost_load
beta=1,7,55,13187.999999999953,lost_load
beta=1,7,56,13187.999999999953,lost_load
beta=1,7,57,13187.999999999953,lost_load
beta=1,7,58,13187.999999999953,lost_load
beta=1,7,59,13187.999999999953,lost_load
beta=1,7,60,13187.999999999953,lost_load
beta=1,7,61,13187.999999999953,lost_load
beta=1,7,62,13187.999999999953,lost_load
beta=1,7,63,13187.999999999953,lost_load
beta=1,7,64,13187.999999999953,lost_load
beta=1,7,65,13187.999999999953,lost_load
beta=1,7,66,13187.999999999953,lost_load
beta=1,7,67,13187.999999999953,lost_load
beta=1,7,68,13187.999999999953,lost_load
beta=1,7,69,13187.999999999953,lost_load
beta=1,7,70,13187.999999999953,lost_load
beta=1,7,71,13187.999999999953,lost_load
beta=1,7,72,13187.999999999953,lost_load
beta=1,7,73,13187.999999999953,lost_load
beta=1,7,74,13187.999999999953,lost_load
beta=1,7,75,13187.999999999953,lost_load
beta=1,7,76,13187.999999999953,lost_load
beta=1,7,77,13187.999999999953,lost_load
beta=1,7,78,13187.999999999953,lost_load
beta=1,7,79,13187.999999999953,lost_load
beta=1,7,80,13187.999999999953,lost_load
beta=1,7,81,13187.999999999953,lost_load
beta=1,7,82,13187.999999999953,lost_load
beta=1,7,83,13187.999999999953,lost_load
beta=1,7,84,13187.999999999953,lost_load
beta=1,7,85,13187.999999999953,lost_load
beta=1,7,86,13187.999999999953,lost_load
beta=1,7,87,13187.999999999953,lost_load
beta=1,7,88,13187.999999999953,lost_load
beta=1,7,89,13187.999999999953,lost_load
beta=1,7,90,13187.999999999953,lost_load
beta=1,7,91,13187.999999999953,lost_load
beta=1,7,92,13187.999999999953,lost_load
beta=1,7,93,13187.999999999953,lost_load
beta=1,7,94,13187.999999999953,lost_load
beta=1,7,95,13187.999999999953,lost_load
beta=1,7,96,13187.999999999953,lost_load
beta=1,7,97,13187.999999999953,lost_load
beta=1,7,98,13187.999999999953,lost_load
beta=1,7,99,13187.999999999953,lost_load
beta=1,7,100,13187.999999999953,lost_load
beta=1,7,101,13187.999999999953,lost_load
beta=1,7,102,13187.999999999953,lost_load
beta=1,7,103,13187.999999999953,lost_load
beta=1,7,104,13187.999999999953,lost_load
beta=1,7,105,13187.999999999953,lost_load
beta=1,7,106,13187.999999999953,lost_load
beta=1,7,107,13187.999999999953,lost_load
beta=1,7,108,13187.999999999953,lost_load
beta=1,7,109,13187.999999999953,lost_load
beta=1,7,110,13187.999999999953,lost_load
beta=1,7,111,13187.999999999953,lost_load
beta=1,7,112,13187.999999999953,lost_load
beta=1,7,113,13187.999999999953,lost_load
beta=1,7,114,13187.999999999953,lost_load
beta=1,7,115,13187.999999999953,lost_load
beta=1,7,116,13187.999999999953,lost_load
beta=1,7,117,13187.999999999953,lost_load
beta=1,7,118,13187.999999999953,lost_load
beta=1,7,119,13187.999999999953,lost_load
beta=1,7,120,13187.999999999953,lost_load
beta=1,7,121,13187.999999999953,lost_load
beta=1,7,122,13187.999999999953,lost_load
beta=1,7,123,13187.999999999953,lost_load
beta=1,7,124,13187.999999999953,lost_load
