policy,seed,step,value,b
none,0,146,0.0,0.02
none,0,147,0.0,0.02
none,0,148,0.0,0.02
none,0,149,0.0,0.02
none,0,150,0.0,0.02
none,1,0,0.1,0.02
none,1,1,0.08,0.02
none,1,2,0.07,0.02
none,1,3,0.07,0.02
none,1,4,0.07,0.02
none,1,5,0.07,0.02
none,1,6,0.06,0.02
none,1,7,0.07,0.02
none,1,8,0.03,0.02
none,1,9,0.03,0.02
none,1,10,0.03,0.02
none,1,11,0.02,0.02
none,1,12,0.02,0.02
none,1,13,0.02,0.02
none,1,14,0.01,0.02
none,1,15,0.01,0.02
none,1,16,0.01,0.02
none,1,17,0.01,0.02
none,1,18,0.0,0.02
none,1,19,0.0,0.02
none,1,20,0.0,0.02
none,1,21,0.0,0.02
none,1,22,0.0,0.02
none,1,23,0.0,0.02
none,1,24,0.0,0.02
none,1,25,0.0,0.02
none,1,26,0.0,0.02
none,1,27,0.0,0.02
none,1,28,0.0,0.02
none,1,29,0.0,0.02
none,1,30,0.0,0.02
none,1,31,0.0,0.02
none,1,32,0.0,0.02
none,1,33,0.0,0.02
none,1,34,0.0,0.02
none,1,35,0.0,0.02
none,1,36,0.0,0.02
none,1,37,0.0,0.02
none,1,38,0.0,0.02
none,1,39,0.0,0.02
none,1,40,0.0,0.02
none,1,41,0.0,0.02
none,1,42,0.0,0.02
none,1,43,0.0,0.02
none,1,44,0.0,0.02
none,1,45,0.0,0.02
none,1,46,0.0,0.02
none,1,47,0.0,0.02
none,1,48,0.0,0.02
none,1,49,0.0,0.02
none,1,50,0.0,0.02
none,1,51,0.0,0.02
none,1,52,0.0,0.02
none,1,53,0.0,0.02
none,1,54,0.0,0.02
none,1,55,0.0,0.02
none,1,56,0.0,0.02
none,1,57,0.0,0.02
none,1,58,0.0,0.02
none,1,59,0.0,0.02
none,1,60,0.0,0.02
none,1,61,0.0,0.02
none,1,62,0.0,0.02
none,1,63,0.0,0.02
none,1,64,0.0,0.02
none,1,65,0.0,0.02
none,1,66,0.0,0.02
none,1,67,0.0,0.02
none,1,68,0.0,0.02
none,1,69,0.0,0.02
none,1,70,0.0,0.02
none,1,71,0.0,0.02
none,1,72,0.0,0.02
none,1,73,0.0,0.02
none,1,74,0.0,0.02
none,1,75,0.0,0.02
none,1,76,0.0,0.02
none,1,77,0.0,0.02
none,1,78,0.0,0.02
none,1,79,0.0,0.02
none,1,80,0.0,0.02
none,1,81,0.0,0.02
none,1,82,0.0,0.02
none,1,83,0.0,0.02
none,1,84,0.0,0.02
none,1,85,0.0,0.02
none,1,86,0.0,0.02
none,1,87,0.0,0.02
none,1,88,0.0,0.02
none,1,89,0.0,0.02
none,1,90,0.0,0.02
none,1,91,0.0,0.02
none,1,92,0.0,0.02
none,1,93,0.0,0.02
none,1,94,0.0,0.02
none,1,95,0.0,0.02
none,1,96,0.0,0.02
none,1,97,0.0,0.02
none,1,98,0.0,0.02
none,1,99,0.0,0.02
none,1,100,0.0,0.02
none,1,101,0.0,0.02
none,1,102,0.0,0.02
none,1,103,0.0,0.02
none,1,104,0.0,0.02
none,1,105,0.0,0.02
none,1,106,0.0,0.02
none,1,107,0.0,0.02
none,1,108,0.0,0.02
none,1,109,0.0,0.02
none,1,110,0.0,0.02
none,1,111,0.0,0.02
none,1,112,0.0,0.02
none,1,113,0.0,0.02
none,1,114,0.0,0.02
none,1,115,0.0,0.02
none,1,116,0.0,0.02
none,1,117,0.0,0.02
none,1,118,0.0,0.02
none,1,119,0.0,0.02
none,1,120,0.0,0.02
none,1,121,0.0,0.02
none,1,122,0.0,0.02
none,1,123,0.0,0.02
none,1,124,0.0,0.02
none,1,125,0.0,0.02
none,1,126,0.0,0.02
none,1,127,0.0,0.02
none,1,128,0.0,0.02
none,1,129,0.0,0.02
none,1,130,0.0,0.02
none,1,131,0.0,0.02
none,1,132,0.0,0.02
none,1,133,0.0,0.02
none,1,134,0.0,0.02
none,1,135,0.0,0.02
none,1,136,0.0,0.02
none,1,137,0.0,0.02
none,1,138,0.0,0.02
none,1,139,0.0,0.02
none,1,140,0.0,0.02
none,1,141,0.0,0.02
none,1,142,0.0,0.02
none,1,143,0.0,0.02
none,1,144,0.0,0.02
none,1,145,0.0,0.02
none,1,146,0.0,0.02
none,1,147,0.0,0.02
none,1,148,0.0,0.02
none,1,149,0.0,0.02
none,1,150,0.0,0.02
none,2,0,0.1,0.02
none,2,1,0.07,0.02
none,2,2,0.07,0.02
none,2,3,0.08,0.02
none,2,4,0.05,0.02
none,2,5,0.05,0.02
none,2,6,0.08,0.02
none,2,7,0.06,0.02
none,2,8,0.06,0.02
none,2,9,0.06,0.02
none,2,10,0.06,0.02
none,2,11,0.08,0.02
none,2,12,0.11,0.02
none,2,13,0.11,0.02
none,2,14,0.1,0.02
none,2,15,0.08,0.02
none,2,16,0.08,0.02
none,2,17,0.08,0.02
none,2,18,0.08,0.02
none,2,19,0.1,0.02
none,2,20,0.09,0.02
none,2,21,0.11,0.02
none,2,22,0.12,0.02
none,2,23,0.09,0.02
none,2,24,0.08,0.02
none,2,25,0.09,0.02
none,2,26,0.09,0.02
none,2,27,0.07,0.02
none,2,28,0.07,0.02
none,2,29,0.06,0.02
none,2,30,0.04,0.02
none,2,31,0.04,0.02
none,2,32,0.04,0.02
none,2,33,0.03,0.02
none,2,34,0.03,0.02
none,2,35,0.03,0.02
none,2,36,0.04,0.02
none,2,37,0.04,0.02
none,2,38,0.03,0.02
none,2,39,0.02,0.02
none,2,40,0.02,0.02
none,2,41,0.02,0.02
none,2,42,0.01,0.02
none,2,43,0.01,0.02
none,2,44,0.01,0.02
none,2,45,0.02,0.02
none,2,46,0.02,0.02
none,2,47,0.0,0.02
none,2,48,0.0,0.02
none,2,49,0.0,0.02
none,2,50,0.0,0.02
none,2,51,0.0,0.02
none,2,52,0.0,0.02
none,2,53,0.0,0.02
none,2,54,0.0,0.02
none,2,55,0.0,0.02
none,2,56,0.0,0.02
none,2,57,0.0,0.02
none,2,58,0.0,0.02
none,2,59,0.0,0.02
none,2,60,0.0,0.02
none,2,61,0.0,0.02
none,2,62,0.0,0.02
none,2,63,0.0,0.02
none,2,64,0.0,0.02
none,2,65,0.0,0.02
none,2,66,0.0,0.02
none,2,67,0.0,0.02
none,2,68,0.0,0.02
none,2,69,0.0,0.02
none,2,70,0.0,0.02
none,2,71,0.0,0.02
none,2,72,0.0,0.02
none,2,73,0.0,0.02
none,2,74,0.0,0.02
none,2,75,0.0,0.02
none,2,76,0.0,0.02
none,2,77,0.0,0.02
none,2,78,0.0,0.02
none,2,79,0.0,0.02
none,2,80,0.0,0.02
none,2,81,0.0,0.02
none,2,82,0.0,0.02
none,2,83,0.0,0.02
none,2,84,0.0,0.02
none,2,85,0.0,0.02
none,2,86,0.0,0.02
none,2,87,0.0,0.02
none,2,88,0.0,0.02
none,2,89,0.0,0.02
none,2,90,0.0,0.02
none,2,91,0.0,0.02
none,2,92,0.0,0.02
none,2,93,0.0,0.02
none,2,94,0.0,0.02
none,2,95,0.0,0.02
none,2,96,0.0,0.02
none,2,97,0.0,0.02
none,2,98,0.0,0.02
none,2,99,0.0,0.02
none,2,100,0.0,0.02
none,2,101,0.0,0.02
none,2,102,0.0,0.02
none,2,103,0.0,0.02
none,2,104,0.0,0.02
none,2,105,0.0,0.02
none,2,106,0.0,0.02
none,2,107,0.0,0.02
none,2,108,0.0,0.02
none,2,109,0.0,0.02
none,2,110,0.0,0.02
none,2,111,0.0,0.02
none,2,112,0.0,0.02
none,2,113,0.0,0.02
none,2,114,0.0,0.02
none,2,115,0.0,0.02
none,2,116,0.0,0.02
none,2,117,0.0,0.02
none,2,118,0.0,0.02
none,2,119,0.0,0.02
none,2,120,0.0,0.02
none,2,121,0.0,0.02
none,2,122,0.0,0.02
none,2,123,0.0,0.02
none,2,124,0.0,0.02
none,2,125,0.0,0.02
none,2,126,0.0,0.02
none,2,127,0.0,0.02
none,2,128,0.0,0.02
none,2,129,0.0,0.02
none,2,130,0.0,0.02
none,2,131,0.0,0.02
none,2,132,0.0,0.02
none,2,133,0.0,0.02
none,2,134,0.0,0.02
none,2,135,0.0,0.02
none,2,136,0.0,0.02
none,2,137,0.0,0.02
none,2,138,0.0,0.02
none,2,139,0.0,0.02
none,2,140,0.0,0.02
none,2,141,0.0,0.02
none,2,142,0.0,0.02
none,2,143,0.0,0.02
none,2,144,0.0,0.02
none,2,145,0.0,0.02
none,2,146,0.0,0.02
none,2,147,0.0,0.02
none,2,148,0.0,0.02
none,2,149,0.0,0.02
none,2,150,0.0,0.02
none,3,0,0.1,0.02
none,3,1,0.09,0.02
none,3,2,0.07,0.02
none,3,3,0.07,0.02
none,3,4,0.07,0.02
none,3,5,0.09,0.02
none,3,6,0.07,0.02
none,3,7,0.04,0.02
none,3,8,0.05,0.02
none,3,9,0.05,0.02
none,3,10,0.03,0.02
none,3,11,0.02,0.02
none,3,12,0.01,0.02
none,3,13,0.0,0.02
none,3,14,0.0,0.02
none,3,15,0.0,0.02
none,3,16,0.0,0.02
none,3,17,0.0,0.02
none,3,18,0.0,0.02
none,3,19,0.0,0.02
none,3,20,0.0,0.02
none,3,21,0.0,0.02
none,3,22,0.0,0.02
none,3,23,0.0,0.02
none,3,24,0.0,0.02
none,3,25,0.0,0.02
none,3,26,0.0,0.02
none,3,27,0.0,0.02
none,3,28,0.0,0.02
none,3,29,0.0,0.02
none,3,30,0.0,0.02
none,3,31,0.0,0.02
none,3,32,0.0,0.02
none,3,33,0.0,0.02
none,3,34,0.0,0.02
none,3,35,0.0,0.02
none,3,36,0.0,0.02
none,3,37,0.0,0.02
none,3,38,0.0,0.02
none,3,39,0.0,0.02
none,3,40,0.0,0.02
none,3,41,0.0,0.02
none,3,42,0.0,0.02
none,3,43,0.0,0.02
none,3,44,0.0,0.02
none,3,45,0.0,0.02
none,3,46,0.0,0.02
none,3,47,0.0,0.02
none,3,48,0.0,0.02
none,3,49,0.0,0.02
none,3,50,0.0,0.02
none,3,51,0.0,0.02
none,3,52,0.0,0.02
none,3,53,0.0,0.02
none,3,54,0.0,0.02
none,3,55,0.0,0.02
none,3,56,0.0,0.02
none,3,57,0.0,0.02
none,3,58,0.0,0.02
none,3,59,0.0,0.02
none,3,60,0.0,0.02
none,3,61,0.0,0.02
none,3,62,0.0,0.02
none,3,63,0.0,0.02
none,3,64,0.0,0.02
none,3,65,0.0,0.02
none,3,66,0.0,0.02
none,3,67,0.0,0.02
none,3,68,0.0,0.02
none,3,69,0.0,0.02
none,3,70,0.0,0.02
none,3,71,0.0,0.02
none,3,72,0.0,0.02
none,3,73,0.0,0.02
none,3,74,0.0,0.02
none,3,75,0.0,0.02
none,3,76,0.0,0.02
none,3,77,0.0,0.02
none,3,78,0.0,0.02
none,3,79,0.0,0.02
none,3,80,0.0,0.02
none,3,81,0.0,0.02
none,3,82,0.0,0.02
none,3,83,0.0,0.02
none,3,84,0.0,0.02
none,3,85,0.0,0.02
none,3,86,0.0,0.02
none,3,87,0.0,0.02
none,3,88,0.0,0.02
none,3,89,0.0,0.02
none,3,90,0.0,0.02
none,3,91,0.0,0.02
none,3,92,0.0,0.02
none,3,93,0.0,0.02
none,3,94,0.0,0.02
none,3,95,0.0,0.02
none,3,96,0.0,0.02
none,3,97,0.0,0.02
none,3,98,0.0,0.02
none,3,99,0.0,0.02
none,3,100,0.0,0.02
none,3,101,0.0,0.02
none,3,102,0.0,0.02
none,3,103,0.0,0.02
none,3,104,0.0,0.02
none,3,105,0.0,0.02
none,3,106,0.0,0.02
none,3,107,0.0,0.02
none,3,108,0.0,0.02
none,3,109,0.0,0.02
none,3,110,0.0,0.02
none,3,111,0.0,0.02
none,3,112,0.0,0.02
none,3,113,0.0,0.02
none,3,114,0.0,0.02
none,3,115,0.0,0.02
none,3,116,0.0,0.02
none,3,117,0.0,0.02
none,3,118,0.0,0.02
none,3,119,0.0,0.02
none,3,120,0.0,0.02
none,3,121,0.0,0.02
none,3,122,0.0,0.02
none,3,123,0.0,0.02
none,3,124,0.0,0.02
none,3,125,0.0,0.02
none,3,126,0.0,0.02
none,3,127,0.0,0.02
none,3,128,0.0,0.02
none,3,129,0.0,0.02
none,3,130,0.0,0.02
none,3,131,0.0,0.02
none,3,132,0.0,0.02
none,3,133,0.0,0.02
none,3,134,0.0,0.02
none,3,135,0.0,0.02
none,3,136,0.0,0.02
none,3,137,0.0,0.02
none,3,138,0.0,0.02
none,3,139,0.0,0.02
none,3,140,0.0,0.02
none,3,141,0.0,0.02
none,3,142,0.0,0.02
none,3,143,0.0,0.02
none,3,144,0.0,0.02
none,3,145,0.0,0.02
none,3,146,0.0,0.02
none,3,147,0.0,0.02
none,3,148,0.0,0.02
none,3,149,0.0,0.02
none,3,150,0.0,0.02
none,4,0,0.1,0.02
none,4,1,0.08,0.02
none,4,2,0.1,0.02
none,4,3,0.08,0.02
none,4,4,0.07,0.02
none,4,5,0.08,0.02
none,4,6,0.07,0.02
none,4,7,0.06,0.02
none,4,8,0.07,0.02
none,4,9,0.06,0.02
none,4,10,0.08,0.02
none,4,11,0.09,0.02
none,4,12,0.07,0.02
none,4,13,0.08,0.02
none,4,14,0.09,0.02
none,4,15,0.08,0.02
none,4,16,0.06,0.02
none,4,17,0.05,0.02
none,4,18,0.05,0.02
none,4,19,0.03,0.02
none,4,20,0.04,0.02
none,4,21,0.04,0.02
none,4,22,0.03,0.02
none,4,23,0.02,0.02
none,4,24,0.01,0.02
none,4,25,0.01,0.02
none,4,26,0.0,0.02
none,4,27,0.0,0.02
none,4,28,0.0,0.02
none,4,29,0.0,0.02
none,4,30,0.0,0.02
none,4,31,0.0,0.02
none,4,32,0.0,0.02
none,4,33,0.0,0.02
none,4,34,0.0,0.02
none,4,35,0.0,0.02
none,4,36,0.0,0.02
none,4,37,0.0,0.02
none,4,38,0.0,0.02
none,4,39,0.0,0.02
none,4,40,0.0,0.02
none,4,41,0.0,0.02
none,4,42,0.0,0.02
none,4,43,0.0,0.02
none,4,44,0.0,0.02
none,4,45,0.0,0.02
none,4,46,0.0,0.02
none,4,47,0.0,0.02
none,4,48,0.0,0.02
none,4,49,0.0,0.02
none,4,50,0.0,0.02
none,4,51,0.0,0.02
none,4,52,0.0,0.02
none,4,53,0.0,0.02
none,4,54,0.0,0.02
none,4,55,0.0,0.02
none,4,56,0.0,0.02
none,4,57,0.0,0.02
none,4,58,0.0,0.02
none,4,59,0.0,0.02
none,4,60,0.0,0.02
none,4,61,0.0,0.02
none,4,62,0.0,0.02
none,4,63,0.0,0.02
none,4,64,0.0,0.02
none,4,65,0.0,0.02
none,4,66,0.0,0.02
none,4,67,0.0,0.02
none,4,68,0.0,0.02
none,4,69,0.0,0.02
none,4,70,0.0,0.02
none,4,71,0.0,0.02
none,4,72,0.0,0.02
none,4,73,0.0,0.02
none,4,74,0.0,0.02
none,4,75,0.0,0.02
none,4,76,0.0,0.02
none,4,77,0.0,0.02
none,4,78,0.0,0.02
none,4,79,0.0,0.02
none,4,80,0.0,0.02
none,4,81,0.0,0.02
none,4,82,0.0,0.02
none,4,83,0.0,0.02
none,4,84,0.0,0.02
none,4,85,0.0,0.02
none,4,86,0.0,0.02
none,4,87,0.0,0.02
none,4,88,0.0,0.02
none,4,89,0.0,0.02
none,4,90,0.0,0.02
none,4,91,0.0,0.02
none,4,92,0.0,0.02
none,4,93,0.0,0.02
none,4,94,0.0,0.02
none,4,95,0.0,0.02
none,4,96,0.0,0.02
none,4,97,0.0,0.02
none,4,98,0.0,0.02
none,4,99,0.0,0.02
none,4,100,0.0,0.02
none,4,101,0.0,0.02
none,4,102,0.0,0.02
none,4,103,0.0,0.02
none,4,104,0.0,0.02
none,4,105,0.0,0.02
none,4,106,0.0,0.02
none,4,107,0.0,0.02
none,4,108,0.0,0.02
none,4,109,0.0,0.02
none,4,110,0.0,0.02
none,4,111,0.0,0.02
none,4,112,0.0,0.02
none,4,113,0.0,0.02
none,4,114,0.0,0.02
none,4,115,0.0,0.02
none,4,116,0.0,0.02
none,4,117,0.0,0.02
none,4,118,0.0,0.02
none,4,119,0.0,0.02
none,4,120,0.0,0.02
none,4,121,0.0,0.02
none,4,122,0.0,0.02
none,4,123,0.0,0.02
none,4,124,0.0,0.02
none,4,125,0.0,0.02
none,4,126,0.0,0.02
none,4,127,0.0,0.02
none,4,128,0.0,0.02
none,4,129,0.0,0.02
none,4,130,0.0,0.02
none,4,131,0.0,0.02
none,4,132,0.0,0.02
none,4,133,0.0,0.02
none,4,134,0.0,0.02
none,4,135,0.0,0.02
none,4,136,0.0,0.02
none,4,137,0.0,0.02
none,4,138,0.0,0.02
none,4,139,0.0,0.02
none,4,140,0.0,0.02
none,4,141,0.0,0.02
none,4,142,0.0,0.02
none,4,143,0.0,0.02
none,4,144,0.0,0.02
none,4,145,0.0,0.02
none,4,146,0.0,0.02
none,4,147,0.0,0.02
none,4,148,0.0,0.02
none,4,149,0.0,0.02
none,4,150,0.0,0.02
none,5,0,0.1,0.02
none,5,1,0.1,0.02
none,5,2,0.06,0.02
none,5,3,0.05,0.02
none,5,4,0.04,0.02
none,5,5,0.03,0.02
none,5,6,0.03,0.02
none,5,7,0.03,0.02
none,5,8,0.03,0.02
none,5,9,0.03,0.02
none,5,10,0.02,0.02
none,5,11,0.01,0.02
none,5,12,0.01,0.02
none,5,13,0.01,0.02
none,5,14,0.01,0.02
none,5,15,0.01,0.02
none,5,16,0.01,0.02
none,5,17,0.01,0.02
none,5,18,0.01,0.02
none,5,19,0.01,0.02
none,5,20,0.01,0.02
none,5,21,0.01,0.02
none,5,22,0.01,0.02
none,5,23,0.01,0.02
none,5,24,0.01,0.02
none,5,25,0.01,0.02
none,5,26,0.01,0.02
none,5,27,0.0,0.02
none,5,28,0.0,0.02
none,5,29,0.0,0.02
none,5,30,0.0,0.02
none,5,31,0.0,0.02
none,5,32,0.0,0.02
none,5,33,0.0,0.02
none,5,34,0.0,0.02
none,5,35,0.0,0.02
none,5,36,0.0,0.02
none,5,37,0.0,0.02
none,5,38,0.0,0.02
none,5,39,0.0,0.02
none,5,40,0.0,0.02
none,5,41,0.0,0.02
none,5,42,0.0,0.02
none,5,43,0.0,0.02
none,5,44,0.0,0.02
none,5,45,0.0,0.02
none,5,46,0.0,0.02
none,5,47,0.0,0.02
none,5,48,0.0,0.02
none,5,49,0.0,0.02
none,5,50,0.0,0.02
none,5,51,0.0,0.02
none,5,52,0.0,0.02
none,5,53,0.0,0.02
none,5,54,0.0,0.02
none,5,55,0.0,0.02
none,5,56,0.0,0.02
none,5,57,0.0,0.02
none,5,58,0.0,0.02
none,5,59,0.0,0.02
none,5,60,0.0,0.02
none,5,61,0.0,0.02
none,5,62,0.0,0.02
none,5,63,0.0,0.02
none,5,64,0.0,0.02
none,5,65,0.0,0.02
none,5,66,0.0,0.02
none,5,67,0.0,0.02
none,5,68,0.0,0.02
none,5,69,0.0,0.02
none,5,70,0.0,0.02
none,5,71,0.0,0.02
none,5,72,0.0,0.02
none,5,73,0.0,0.02
none,5,74,0.0,0.02
none,5,75,0.0,0.02
none,5,76,0.0,0.02
none,5,77,0.0,0.02
none,5,78,0.0,0.02
none,5,79,0.0,0.02
none,5,80,0.0,0.02
none,5,81,0.0,0.02
none,5,82,0.0,0.02
none,5,83,0.0,0.02
none,5,84,0.0,0.02
none,5,85,0.0,0.02
none,5,86,0.0,0.02
none,5,87,0.0,0.02
none,5,88,0.0,0.02
none,5,89,0.0,0.02
none,5,90,0.0,0.02
none,5,91,0.0,0.02
none,5,92,0.0,0.02
none,5,93,0.0,0.02
none,5,94,0.0,0.02
none,5,95,0.0,0.02
none,5,96,0.0,0.02
none,5,97,0.0,0.02
none,5,98,0.0,0.02
none,5,99,0.0,0.02
none,5,100,0.0,0.02
none,5,101,0.0,0.02
none,5,102,0.0,0.02
none,5,103,0.0,0.02
none,5,104,0.0,0.02
none,5,105,0.0,0.02
none,5,106,0.0,0.02
none,5,107,0.0,0.02
none,5,108,0.0,0.02
none,5,109,0.0,0.02
none,5,110,0.0,0.02
none,5,111,0.0,0.02
none,5,112,0.0,0.02
none,5,113,0.0,0.02
none,5,114,0.0,0.02
none,5,115,0.0,0.02
none,5,116,0.0,0.02
none,5,117,0.0,0.02
none,5,118,0.0,0.02
none,5,119,0.0,0.02
none,5,120,0.0,0.02
none,5,121,0.0,0.02
none,5,122,0.0,0.02
none,5,123,0.0,0.02
none,5,124,0.0,0.02
none,5,125,0.0,0.02
none,5,126,0.0,0.02
none,5,127,0.0,0.02
none,5,128,0.0,0.02
none,5,129,0.0,0.02
none,5,130,0.0,0.02
none,5,131,0.0,0.02
none,5,132,0.0,0.02
none,5,133,0.0,0.02
none,5,134,0.0,0.02
none,5,135,0.0,0.02
none,5,136,0.0,0.02
none,5,137,0.0,0.02
none,5,138,0.0,0.02
none,5,139,0.0,0.02
none,5,140,0.0,0.02
none,5,141,0.0,0.02
none,5,142,0.0,0.02
none,5,143,0.0,0.02
none,5,144,0.0,0.02
none,5,145,0.0,0.02
none,5,146,0.0,0.02
none,5,147,0.0,0.02
none,5,148,0.0,0.02
none,5,149,0.0,0.02
none,5,150,0.0,0.02
none,6,0,0.1,0.02
none,6,1,0.08,0.02
none,6,2,0.04,0.02
none,6,3,0.04,0.02
none,6,4,0.05,0.02
none,6,5,0.03,0.02
none,6,6,0.03,0.02
none,6,7,0.03,0.02
none,6,8,0.02,0.02
none,6,9,0.02,0.02
none,6,10,0.02,0.02
none,6,11,0.02,0.02
none,6,12,0.01,0.02
none,6,13,0.02,0.02
none,6,14,0.01,0.02
none,6,15,0.01,0.02
none,6,16,0.0,0.02
none,6,17,0.0,0.02
none,6,18,0.0,0.02
none,6,19,0.0,0.02
none,6,20,0.0,0.02
none,6,21,0.0,0.02
none,6,22,0.0,0.02
none,6,23,0.0,0.02
none,6,24,0.0,0.02
none,6,25,0.0,0.02
none,6,26,0.0,0.02
none,6,27,0.0,0.02
none,6,28,0.0,0.02
none,6,29,0.0,0.02
none,6,30,0.0,0.02
none,6,31,0.0,0.02
none,6,32,0.0,0.02
none,6,33,0.0,0.02
none,6,34,0.0,0.02
none,6,35,0.0,0.02
none,6,36,0.0,0.02
none,6,37,0.0,0.02
none,6,38,0.0,0.02
none,6,39,0.0,0.02
none,6,40,0.0,0.02
none,6,41,0.0,0.02
none,6,42,0.0,0.02
none,6,43,0.0,0.02
none,6,44,0.0,0.02
none,6,45,0.0,0.02
none,6,46,0.0,0.02
none,6,47,0.0,0.02
none,6,48,0.0,0.02
none,6,49,0.0,0.02
none,6,50,0.0,0.02
none,6,51,0.0,0.02
none,6,52,0.0,0.02
none,6,53,0.0,0.02
none,6,54,0.0,0.02
none,6,55,0.0,0.02
none,6,56,0.0,0.02
none,6,57,0.0,0.02
none,6,58,0.0,0.02
none,6,59,0.0,0.02
none,6,60,0.0,0.02
none,6,61,0.0,0.02
none,6,62,0.0,0.02
none,6,63,0.0,0.02
none,6,64,0.0,0.02
none,6,65,0.0,0.02
none,6,66,0.0,0.02
none,6,67,0.0,0.02
none,6,68,0.0,0.02
none,6,69,0.0,0.02
none,6,70,0.0,0.02
none,6,71,0.0,0.02
none,6,72,0.0,0.02
none,6,73,0.0,0.02
none,6,74,0.0,0.02
none,6,75,0.0,0.02
none,6,76,0.0,0.02
none,6,77,0.0,0.02
none,6,78,0.0,0.02
none,6,79,0.0,0.02
none,6,80,0.0,0.02
none,6,81,0.0,0.02
none,6,82,0.0,0.02
none,6,83,0.0,0.02
none,6,84,0.0,0.02
none,6,85,0.0,0.02
none,6,86,0.0,0.02
none,6,87,0.0,0.02
none,6,88,0.0,0.02
none,6,89,0.0,0.02
none,6,90,0.0,0.02
none,6,91,0.0,0.02
